_ - title,_ - year,_ - type,_ - filename,_ - tags,_ - draft,prize,_ - author - author,_ - tags - tags
Dealing with Legacy Code,2020,collaborative-ideas,content/cw20-legacy-code.md,,,3,Patricia Herterich|Catherine Smith|Christopher Fullerton|Raniere Silva|Philipp Boersch-Supan,legacy-code|training|reproducibility
Open Source Covid Analysis of References (OSCAR),2021,collaborative-ideas,content/cw21-oscar.md,,,,Michelle Barker|Shoaib Sufi|Daniel S. Katz|Carina Haupt|Callum Rollo,covid|open-source
Maintainable Tutorials Made Quickly,2019,hack-ideas,content/cw19-tutorials-quickly.md,,,,Adam Jackson,
HowDescribedIs,2021,hack-day,content/cw21-howdescribedis.md,,,,Faruk Diblen|Daniel Garijo|Carlos Martinez|Matthew Bluteau|Paddy McCann,tool|extension|reproducibility|citation
Netflix of libraries,2019,hack-ideas,content/cw19-netflix-libraries.md,,,,Ben Krikler,
Keeping up with the Joneses: Providing evidence for software and data citations in published papers,2018,hack-ideas,content/cw18-ProvidingEvidenceForSoftwareAndDataCitationsInPublishedPapers.md,,,2,Kirstie Whitaker,
Code Review Cupid,2022,hack-day,content/cw22-code-review-cupid-hack.md,,,1,Felicity Anderson|Sherman Lo|Dmitry Nikolaenko,rse|code-review
CFF in the wild - analysing software citation metadata file usage,2022,hack-day,content/cw22-cff-in-the-wild.md,,,2,Stephan Druskat,FAIR|CFF
Bursting the Bubble: Teaching PIs the value of good code,2021,collaborative-ideas,content/cw21-bursting-the-bubble.md,,,,Marion Weinzierl|Sam Harrison|Arielle Bennett|Steve Crouch|Mark Turner,guidance|good-practice
Exploratory analysis of past Collaborative Ideas,2021,hack-day,content/cw21-exploratory-analysis-of-past-collaborative-ideas.md,,,,Heather Turner,collaborations-workshop|data-analysis
GitHub annotator/failure map,2019,collaborative-ideas,content/cw19-gh-annotator.md,,,,Ilektra Christidi,
How to map out software and data skills lessons like Duolingo,2019,collaborative-ideas,content/cw19-map-skills.md,,,,Daniel S. Katz|Jeremy Cohen|Neil Chue Hong|Olivia Mitchell|Victor Koppejan,
